WheelID,WheelDiameter,WheelName,WheelStyle,WheelRunFlat
359742,19, style 430 with performance non run-flat tires,430 with performance non run-flat tires,True
329306,18, style 649i with performance run-flat tires,649i with performance run-flat tires,False
710724,19,19 V-spoke wheels,V-spoke wheels,True
507716,20, style CS16 with performance non run-flat tires,CS16 with performance non run-flat tires,True
620777,20,20 BMWi Light Alloy Radial-spoke Bi-color Wheels style 516 with mixed tires,BMWi Light Alloy Radial-spoke Bi-color Wheels style 516 with mixed tires,False
164921,20,20 BMWi Light Alloy Radial-spoke Jet Black Wheels style 516 with mixed tires,BMWi Light Alloy Radial-spoke Jet Black Wheels style 516 with mixed tires,False
92281,20, style 706M with performance non run-flat tires,706M with performance non run-flat tires,True
895515,20,20 M Double-spoke bi-color orbit grey wheels,M Double-spoke bi-color orbit grey wheels,False
882913,19, style 343M with performance non run-flat tires,343M with performance non run-flat tires,True
572174,19,19 M Double-spoke wheels,M Double-spoke wheels,True
470686,18, style 685 with performance run-flat tires,685 with performance run-flat tires,True
133259,18,18 M V-spoke ferric grey wheels,M V-spoke ferric grey wheels,False
15346,19,19 M Double-spoke forged black wheels,M Double-spoke forged black wheels,True
307910,18, style 511 with run-flat tires,511 with run-flat tires,True
870264,19,19 M Forged Black Y-Spoke Wheels Style 788 M with Mixed Performance Tires,M Forged Black Y-Spoke Wheels Style 788 M with Mixed Performance Tires,True
846618,20, style 566 with all-season run-flat tires,566 with all-season run-flat tires,False
177639,18, style 491 with performance run-flat tires,491 with performance run-flat tires,False
535473,20,20 ALPINA CLASSIC wheels,ALPINA CLASSIC wheels,False
964606,18,18 M Double-spoke bi-color wheels,M Double-spoke bi-color wheels,True
536356,18,18 V-Spoke wheels,V-Spoke wheels,False
328216,19, style 752 withall-season runflat tires,752 withall-season runflat tires,False
814075,18, style 705M with performance non run-flat tires,705M with performance non run-flat tires,False
717237,19, style 635 with all-season run-flat tires,635 with all-season run-flat tires,False
901492,19, style 699M with performance run-flat tires,699M with performance run-flat tires,True
640557,19,19 Double-spoke bi-color orbit grey wheels,Double-spoke bi-color orbit grey wheels,True
949562,20,20 BMW Individual V-spoke wheels,BMW Individual V-spoke wheels,False
251351,19,19 M Double-spoke Cerium Grey wheels,M Double-spoke Cerium Grey wheels,False
231782,19,19 V-Spoke wheels,V-Spoke wheels,True
501270,19, style 566 with all-season non run-flat tires,566 with all-season non run-flat tires,True
393021,20, style 429 with all-season non run-flat tires,429 with all-season non run-flat tires,False
975012,20, style 437M with performance non run-flat tires,437M with performance non run-flat tires,True
304598,18, style 513M with performance non run-flat tires,513M with performance non run-flat tires,True
474220,22,22 V-spoke bi-color orbit grey wheels,V-spoke bi-color orbit grey wheels,False
651095,20, style 634 with all-season run-flat tires,634 with all-season run-flat tires,True
584469,19,19 M Double-spoke forged wheels,M Double-spoke forged wheels,False
332582,19,19 M Double-spoke bi-color jet black wheels,M Double-spoke bi-color jet black wheels,False
149049,20,20 M Double-spoke forged black wheels,M Double-spoke forged black wheels,False
620001,22,22 Multi-spoke bi-color ferric grey wheels,Multi-spoke bi-color ferric grey wheels,True
180642,18, style 758i with runflat tires,758i with runflat tires,False
92526,19, style 635 with performance run-flat tires,635 with performance run-flat tires,False
619674,18, style 698M with all-season run-flat tires,698M with all-season run-flat tires,True
426663,19,19 M Double-spoke jet black wheels,M Double-spoke jet black wheels,True
825480,20, style 634 with all-season non run-flat tires,634 with all-season non run-flat tires,False
808608,18,18 Y-spoke wheels,Y-spoke wheels,True
921270,21,21 Y-spoke orbit grey wheels,Y-spoke orbit grey wheels,True
34893,20,20 M Double-spoke wheels,M Double-spoke wheels,True
63978,18, style 595 with all-season run-flat tires,595 with all-season run-flat tires,False
873852,20, style 722M with all-season run-flat tires,722M with all-season run-flat tires,True
408534,19,19 Y-spoke wheels,Y-spoke wheels,True
355167,18, style 734 with all-season run-flat tires,734 with all-season run-flat tires,False
618378,20, style 799M with perf non run-flat tires,799M with perf non run-flat tires,False
595962,20, style 744 with performance run-flat tires,744 with performance run-flat tires,True
951204,19, style 620 with all-season run-flat tires,620 with all-season run-flat tires,True
645885,20,20 M Double-spoke bi-color wheels,M Double-spoke bi-color wheels,True
99352,18, style 791M with performance rft,791M with performance rft,True
